target,alt_target,ra,dec,tmag,priority,duration,comments
TIC 244298514.0,8713264018329,274.218556931984,-22.662949109953477,13.788069,4,2,"P=2.80h, Amp=0.99mag, CVprob=0.98, Bulge"
TIC 408064284.0,9167888002057,271.4755060069024,-27.200007652819515,13.792133,4,2,"P=4.79h, Amp=1.21mag, CVprob=0.98, Bulge"
TIC 443743372.0,9196563010022,271.67070481328824,-27.50289244897406,11.768484,4,2,"P=23.08h, Amp=1.71mag, CVprob=0.98, Bulge"
TIC 443981230.0,9204756000342,271.7794583477694,-27.57205893632637,12.31234,4,2,"P=4.79h, Amp=1.42mag, CVprob=0.98, Bulge"
TIC 1605268272.0,9200662001151,271.962364533314,-27.510748280612876,15.938906,4,2,"P=4.79h, Amp=1.39mag, CVprob=0.98, Bulge"
TIC 406311883.0,9257993002949,270.8682864401431,-28.12951232663521,11.518228,4,2,"P=14.10h, Amp=1.69mag, CVprob=0.98, Bulge"
TIC 1606453433.0,9155602001900,271.58578534488555,-27.050608525430363,14.756086,4,2,"P=22.38h, Amp=1.42mag, CVprob=0.98, Bulge"
TIC 248458963.0,9004053008129,271.88848504338864,-25.500544130167736,11.746422,4,2,"P=3.38h, Amp=1.98mag, CVprob=0.98, Bulge"
TIC 1609009779.0,9081880001482,272.10587930461816,-26.351838493545028,13.583617,4,2,"P=11.94h, Amp=1.50mag, CVprob=0.98, Bulge"
TIC 1606431266.0,9155601001378,271.4579111116606,-27.063250307463164,13.849729,4,2,"P=0.21h, Amp=1.28mag, CVprob=0.98, Bulge"
TIC 1606114938.0,9151500006226,271.0771719333403,-27.009386017878665,15.564113,4,2,"P=23.09h, Amp=1.37mag, CVprob=0.98, Bulge"
TIC 249046506.0,9118748010996,272.5008163297962,-26.722789862094697,11.888726,4,2,"P=8.15h, Amp=1.40mag, CVprob=0.98, Bulge"
TIC 1609361711.0,9036822008119,271.9737471881204,-25.83331143224094,16.051781,4,2,"P=0.24h, Amp=1.19mag, CVprob=0.98, Bulge"
TIC 405068648.0,8856619004875,273.8597542052896,-24.04962989487901,11.79755,4,2,"P=1.55h, Amp=1.98mag, CVprob=0.98, Bulge"
TIC 443979987.0,9192468012132,271.8081759569336,-27.48238273641029,11.649584,4,2,"P=23.08h, Amp=2.05mag, CVprob=0.98, Bulge"
TIC 196392618.0,9237509004141,270.4607205459498,-27.89781496788518,13.38216,4,2,"P=23.09h, Amp=1.59mag, CVprob=0.98, Bulge"
TIC 1609623736.0,9028638006040,272.6666588621692,-25.77139742436245,15.854483,4,2,"P=11.94h, Amp=1.21mag, CVprob=0.98, Bulge"
TIC 1603383846.0,9368580038957,270.3709356074228,-29.25342762457741,15.148527,4,2,"P=3.19h, Amp=1.92mag, CVprob=0.98, Bulge"
TIC 406987894.0,9196556000160,271.0737156122532,-27.501859809268304,13.177633,4,2,"P=6.07h, Amp=1.49mag, CVprob=0.98, Bulge"
TIC 407369435.0,9114638009464,271.255809734827,-26.66150120809252,11.643253,4,2,"P=23.08h, Amp=1.89mag, CVprob=0.98, Bulge"
TIC 406310973.0,9253898006177,270.8683567463345,-28.068268289386516,11.671513,4,2,"P=15.90h, Amp=1.91mag, CVprob=0.98, Bulge"
TIC 1603637995.0,9327625001685,270.7779023312697,-28.834597847144508,13.860588,4,2,"P=5.99h, Amp=1.34mag, CVprob=0.98, Bulge"
TIC 1609558966.0,9004053002085,271.8818003269716,-25.51349150861631,11.866348,4,2,"P=7.99h, Amp=1.88mag, CVprob=0.98, Bulge"
TIC 1605635404.0,9147412012152,271.7443237905592,-26.96780135600467,16.052452000000002,4,2,"P=6.07h, Amp=1.31mag, CVprob=0.98, Bulge"
TIC 249341809.0,9073695008138,272.74910203766115,-26.221017926321693,13.447157,4,2,"P=11.94h, Amp=1.70mag, CVprob=0.98, Bulge"
TIC 268246191.0,8930342005815,273.3868878773711,-24.776300325551063,11.6412115,4,2,"P=3.74h, Amp=2.63mag, CVprob=0.98, Bulge"
