Name,RA (2000) ,DEC (2000) ,Object Type ,RA (deg),Dec (deg)
V2109 Oph ,17:24:15.93,-24:36:50.20,n ,261.066375,-24.613944444444446
BB Oph ,17:24:30.02,-24:48:06.10,n ,261.1250833333333,-24.801694444444447
V2295 Oph ,17:25:06.41,-23:11:11.10,na ,261.2767083333333,-23.186416666666666
V478 Sco ,17:25:58.54,-35:32:31.80,ug ,261.49391583333335,-35.54211027777777
V902 Sco ,17:26:08.30,-39:04:05.00,nb ,261.53504166666664,-39.06736111111111
V906 Oph ,17:26:09.70,-21:54:28.00,na ,261.54041666666666,-21.907777777777778
Sco ,17:26:28.89,-39:43:07.90,ug ,,
Sco ,17:27:02.76,-40:09:12.10,ugsu ,,
V908 Oph ,17:27:51.00,-27:45:00,n ,262.1708333333333,-27.756666666666668
Sco ,17:29:07.69,-40:05:21.40,ug ,,
V1187 Sco ,17:29:18.81,-31:46:01.50,n ,262.328375,-31.767083333333332
Sco ,17:29:29.75,-40:01:09.90,ug ,,
Sco ,17:29:31.98,-40:20:48.60,ug ,,
AT Ara ,17:30:33.79,-46:05:58.10,ugSS ,262.6409245833333,-46.09965916666667
MM Sco ,17:30:45.23,-42:11:41.60,ugsu ,262.6884795833333,-42.19513694444444
V2487 Oph ,17:31:59.80,-19:13:56.00,na ,262.99918749999995,-19.23225833333333
V972 Oph ,17:34:44.48,-28:10:35.50,nb ,263.68522291666665,-28.17660388888889
FV Ara ,17:35:10.06,-63:02:50.70,ug ,263.79208333333327,-63.04713888888889
V2313 Oph ,17:35:44.61,-19:19:34.10,na ,263.93587499999995,-19.326138888888888
Ara ,17:37:00.76,-54:25:50.70,non-cv ,,
BF Ara ,17:38:21.32,-47:10:41.10,ugsu ,264.58886624999997,-47.17820861111111
V2574 Oph ,17:38:45.51,-23:28:18.60,n ,264.68960666666663,-23.471811666666664
V794 Oph ,17:38:49.23,-22:50:48.90,nb ,264.70523166666663,-22.84694777777778
V728 Sco ,17:39:12.30,-45:28:45.00,n ,264.8051637499999,-45.479354444444446
V733 Sco ,17:39:42.98,-35:52:38.40,n or m ,264.9133162499999,-35.85670388888889
